WN;BRI1_1C;BRI1_1E;BRI1_2C;BRI1_2E;BRI1_3C;BRI1_3E;BRI1_4C;BRI1_4E;BRI1_5C;BRI1_5E;BRI2_1C;BRI2_1E;BRI2_1RC ;BRI2_1RE;BRI2_2C;BRI2_2E;BRI2_3C;BRI2_3E;BRI2_4C;BRI2_4E;BRI2_5C;BRI2_5E;BRI3_1C;BRI3_1E;BRI3_2C;BRI3_2E;BRI3_3C;BRI3_3E;BRI3_4C;BRI3_4E;BRI3_5C;BRI3_5E
521,827297;0,160481;0,256412;0,140905;0,184924;0,151856;0,211458;0,167529;0,137724;0,130312;0,206965;0,137979;0,2116;0,119004;0,19528;0,163073;0,234347;0,175073;0,208626;0,158693;0,184162;0,136135;0,229977;0,154585;0,214993;0,183983;0,215681;0,169242;0,212932;0,168447;0,19522;0,100576;0,225337
523,690966;0,16307;0,262957;0,143311;0,188536;0,154299;0,216151;0,170491;0,140496;0,131896;0,210631;0,140149;0,216448;0,121114;0,199835;0,165362;0,239023;0,177818;0,212456;0,161099;0,187428;0,138393;0,234393;0,156673;0,219489;0,187033;0,219793;0,17187;0,217305;0,171117;0,198875;0,102388;0,230164
525,554635;0,165863;0,270142;0,145792;0,192493;0,157152;0,22134;0,173985;0,143421;0,13372;0,214568;0,142327;0,221723;0,123221;0,204872;0,169153;0,244313;0,180646;0,216797;0,163802;0,191038;0,140843;0,239195;0,159324;0,22421;0,190659;0,224277;0,174693;0,222138;0,173933;0,202614;0,104737;0,235333
527,418304;0,169049;0,277961;0,148326;0,19673;0,160352;0,227078;0,177806;0,146594;0,13579;0,218902;0,144502;0,227504;0,125225;0,21026;0,173685;0,250218;0,183757;0,221663;0,1668;0,194914;0,14332;0,244445;0,162296;0,229191;0,194741;0,229182;0,177656;0,227309;0,176925;0,206532;0,107162;0,240927
529,281973;0,17257;0,286051;0,150814;0,201002;0,163635;0,233089;0,181561;0,149967;0,137953;0,223543;0,146646;0,233633;0,127109;0,215691;0,177783;0,256393;0,187182;0,226762;0,169902;0,198806;0,145597;0,249936;0,165135;0,234318;0,198929;0,234379;0,180617;0,232516;0,180016;0,210613;0,109145;0,246841
531,145642;0,176174;0,293981;0,15318;0,205074;0,166734;0,23899;0,184952;0,153394;0,140018;0,228297;0,148731;0,239837;0,128961;0,220913;0,180697;0,262395;0,190771;0,231716;0,172886;0,202488;0,147549;0,255361;0,167548;0,23944;0,202893;0,239643;0,183498;0,237491;0,183087;0,214747;0,110439;0,252891
533,009311;0,179628;0,30165;0,155486;0,208944;0,169598;0,244648;0,188017;0,156782;0,141915;0,233065;0,150787;0,245958;0,130946;0,225969;0,182619;0,268052;0,194335;0,236374;0,175694;0,20597;0,149281;0,260603;0,169657;0,244545;0,20657;0,244835;0,186406;0,242237;0,186105;0,218862;0,111221;0,25903
534,87298;0,182934;0,309471;0,157959;0,212929;0,172469;0,250378;0,191156;0,160211;0,14376;0,237974;0,152933;0,252122;0,133228;0,231247;0,184535;0,273661;0,197828;0,240984;0,178517;0,209552;0,151116;0,26591;0,171964;0,249864;0,210233;0,250052;0,189616;0,247111;0,189193;0,223039;0,111994;0,265461
536,736649;0,186373;0,318187;0,160888;0,217527;0,17575;0,256809;0,1949;0,163937;0,145795;0,243324;0,155353;0,258702;0,135893;0,23729;0,187519;0,279853;0,201425;0,246078;0,181689;0,213679;0,153437;0,271806;0,175026;0,255783;0,214333;0,255622;0,193415;0,252666;0,192587;0,22753;0,113285;0,27255
538,600317;0,19034;0,328411;0,164465;0,223117;0,179741;0,264487;0,199583;0,168242;0,148218;0,24938;0,158205;0,266099;0,138904;0,244467;0,191989;0,287196;0,205427;0,252125;0,185479;0,218657;0,156474;0,278766;0,179078;0,26263;0,219204;0,26193;0,197901;0,259339;0,196499;0,232634;0,115341;0,280587
